IBEX 35
Spain
Null
<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^IBEX,D,20000321,000000,12362.40,12375.40,12156.70,12308.30,000,0
^IBEX,D,20000322,000000,12308.30,12489.00,12091.80,12172.20,000,0
^IBEX,D,20000323,000000,12172.20,12273.20,11970.90,12073.30,000,0
^IBEX,D,20000324,000000,12073.30,12240.00,12030.70,12213.80,000,0
^IBEX,D,20000327,000000,12213.80,12266.50,12120.70,12162.00,000,0
^IBEX,D,20000328,000000,12162.00,12297.90,12084.30,12211.10,000,0
^IBEX,D,20000329,000000,12204.80,12204.80,12043.20,12088.60,000,0
^IBEX,D,20000330,000000,12001.40,12001.40,11827.90,11833.40,000,0
^IBEX,D,20000331,000000,11833.40,11978.90,11633.80,11935.00,000,0
^IBEX,D,20000403,000000,11935.00,11958.60,11622.20,11686.40,000,0
^IBEX,D,20000404,000000,11686.40,11771.50,11575.20,11584.20,000,0
^IBEX,D,20000405,000000,11584.20,11618.80,11189.80,11374.60,000,0
^IBEX,D,20000406,000000,11412.70,11648.10,11412.70,11607.90,000,0
^IBEX,D,20000407,000000,11683.90,11790.70,11683.90,11790.60,000,0
^IBEX,D,20000410,000000,11790.60,11918.50,11743.80,11768.70,000,0
^IBEX,D,20000411,000000,11722.20,11722.20,11502.60,11515.30,000,0
^IBEX,D,20000412,000000,11515.30,11667.20,11499.10,11542.10,000,0
^IBEX,D,20000413,000000,11542.10,11660.50,11379.40,11647.20,000,0
^IBEX,D,20000414,000000,11632.00,11632.00,11323.40,11363.90,000,0
^IBEX,D,20000417,000000,11267.40,11267.40,10771.60,11217.30,000,0
^IBEX,D,20000418,000000,11217.30,11390.90,11117.90,11261.50,000,0
^IBEX,D,20000419,000000,11265.70,11411.00,11265.70,11339.80,000,0
^IBEX,D,20000420,000000,11339.80,11543.30,11317.20,11502.00,000,0
^IBEX,D,20000425,000000,11460.60,11460.60,11325.40,11425.50,000,0
^IBEX,D,20000426,000000,11447.60,11573.90,11447.60,11481.50,000,0
^IBEX,D,20000427,000000,11481.50,11525.40,11232.70,11273.00,000,0
^IBEX,D,20000428,000000,11349.70,11501.80,11349.70,11467.90,000,0
^IBEX,D,20000502,000000,11569.20,11867.20,11569.20,11867.20,000,0
^IBEX,D,20000503,000000,11867.20,11974.40,11633.50,11667.90,000,0
^IBEX,D,20000504,000000,11667.90,11700.40,11513.30,11597.50,000,0
^IBEX,D,20000505,000000,11597.50,11652.50,11454.70,11560.90,000,0
^IBEX,D,20000508,000000,11484.20,11484.20,11267.90,11304.00,000,0
^IBEX,D,20000509,000000,11304.00,11366.30,11053.50,11071.70,000,0
^IBEX,D,20000510,000000,11071.70,11151.60,10808.10,10832.30,000,0
^IBEX,D,20000511,000000,10832.30,11038.60,10685.60,11036.30,000,0
^IBEX,D,20000512,000000,11036.30,11184.90,10972.70,11102.60,000,0
^IBEX,D,20000515,000000,11102.60,11164.70,10938.30,11009.30,000,0
^IBEX,D,20000516,000000,11058.50,11260.40,11058.50,11220.70,000,0
^IBEX,D,20000517,000000,11220.70,11227.60,10899.10,10905.30,000,0
^IBEX,D,20000518,000000,10905.30,11081.10,10850.00,10889.60,000,0
^IBEX,D,20000519,000000,10889.60,10930.90,10488.30,10544.90,000,0
^IBEX,D,20000522,000000,10544.90,10628.50,10264.50,10326.30,000,0
^IBEX,D,20000523,000000,10330.90,10503.80,10330.90,10380.10,000,0
^IBEX,D,20000524,000000,10380.10,10412.90,10211.30,10342.40,000,0
^IBEX,D,20000525,000000,10382.50,10588.90,10382.50,10560.60,000,0
^IBEX,D,20000526,000000,10545.10,10545.10,10370.10,10437.10,000,0
^IBEX,D,20000529,000000,10437.10,10563.80,10436.90,10558.90,000,0
^IBEX,D,20000530,000000,10558.90,10721.70,10544.70,10648.50,000,0
^IBEX,D,20000531,000000,10648.50,10813.10,10643.50,10688.50,000,0
^IBEX,D,20000601,000000,10688.50,10898.90,10640.50,10875.50,000,0
^IBEX,D,20000602,000000,10875.50,11220.50,10870.80,11141.50,000,0
^IBEX,D,20000605,000000,11141.50,11183.50,10993.00,11004.20,000,0
^IBEX,D,20000606,000000,11004.20,11047.70,10751.10,10782.50,000,0
^IBEX,D,20000607,000000,10768.60,10768.60,10520.30,10688.90,000,0
^IBEX,D,20000608,000000,10738.60,10954.90,10738.60,10799.60,000,0
^IBEX,D,20000609,000000,10799.60,11001.20,10783.30,10873.20,000,0
^IBEX,D,20000612,000000,10873.20,10961.30,10766.20,10791.30,000,0
^IBEX,D,20000613,000000,10791.30,10946.90,10690.90,10806.00,000,0
^IBEX,D,20000614,000000,10806.00,10965.80,10798.50,10880.70,000,0
^IBEX,D,20000615,000000,10880.70,10950.00,10837.40,10876.00,000,0
^IBEX,D,20000616,000000,10876.00,10918.80,10663.60,10723.80,000,0
^IBEX,D,20000619,000000,10723.80,10754.60,10564.80,10595.60,000,0
^IBEX,D,20000620,000000,10595.60,10688.50,10563.40,10563.40,000,0
^IBEX,D,20000621,000000,10530.50,10530.50,10351.40,10351.40,000,0
^IBEX,D,20000622,000000,10413.10,10566.20,10413.10,10490.50,000,0
^IBEX,D,20000623,000000,10490.50,10631.60,10415.80,10533.10,000,0
^IBEX,D,20000626,000000,10533.10,10603.30,10467.20,10488.90,000,0
^IBEX,D,20000627,000000,10488.90,10588.30,10449.60,10528.20,000,0
^IBEX,D,20000628,000000,10528.20,10615.50,10505.90,10583.20,000,0
^IBEX,D,20000629,000000,10583.20,10624.00,10366.40,10366.40,000,0
^IBEX,D,20000630,000000,10387.60,10605.30,10387.60,10581.30,000,0
^IBEX,D,20000703,000000,10581.30,10697.00,10454.20,10676.70,000,0
^IBEX,D,20000704,000000,10676.70,10892.20,10661.50,10848.90,000,0
^IBEX,D,20000705,000000,10848.90,10962.70,10733.60,10757.60,000,0
^IBEX,D,20000706,000000,10757.60,10845.00,10685.10,10739.60,000,0
^IBEX,D,20000707,000000,10747.30,10896.70,10747.30,10896.70,000,0
^IBEX,D,20000710,000000,10896.70,10920.70,10807.70,10828.90,000,0
^IBEX,D,20000711,000000,10828.90,10902.30,10749.10,10874.80,000,0
^IBEX,D,20000712,000000,10874.80,11015.70,10831.00,10878.70,000,0
^IBEX,D,20000713,000000,10878.70,10974.80,10783.00,10848.20,000,0
^IBEX,D,20000714,000000,10848.20,11002.60,10772.80,11002.60,000,0
^IBEX,D,20000717,000000,11002.60,11063.90,10892.50,10949.20,000,0
^IBEX,D,20000718,000000,10949.20,10977.00,10775.40,10791.50,000,0
^IBEX,D,20000719,000000,10791.50,10924.40,10747.10,10850.70,000,0
^IBEX,D,20000720,000000,10850.70,10997.80,10801.20,10986.10,000,0
^IBEX,D,20000721,000000,10986.10,11039.50,10845.00,10879.60,000,0
^IBEX,D,20000724,000000,10879.60,10924.40,10812.50,10831.50,5545600,0
^IBEX,D,20000725,000000,10831.50,10842.20,10703.40,10714.60,7368000,0
^IBEX,D,20000726,000000,10722.60,10840.20,10722.60,10743.80,6643800,0
^IBEX,D,20000727,000000,10743.80,10856.60,10713.40,10726.00,6989400,0
^IBEX,D,20000728,000000,10726.00,10735.00,10526.80,10560.00,6670000,0
^IBEX,D,20000731,000000,10560.00,10584.70,10375.00,10531.60,7334200,0
^IBEX,D,20000801,000000,10531.60,10591.30,10481.10,10549.00,6354300,0
^IBEX,D,20000802,000000,10549.00,10656.10,10522.80,10644.50,7650100,0
^IBEX,D,20000803,000000,10644.50,10645.70,10453.00,10453.00,7487500,0
^IBEX,D,20000804,000000,10517.90,10610.10,10517.90,10583.40,6189300,0
^IBEX,D,20000807,000000,10585.90,10711.10,10585.90,10707.70,5904300,0
^IBEX,D,20000808,000000,10707.70,10930.00,10657.60,10867.60,7614700,0
^IBEX,D,20000809,000000,10872.10,11085.00,10872.10,10951.90,8876700,0
^IBEX,D,20000810,000000,10981.00,11150.00,10981.00,11110.60,7802500,0
^IBEX,D,20000811,000000,11094.60,11094.60,10976.00,11094.60,5232700,0
^IBEX,D,20000814,000000,11100.90,11250.20,11100.90,11210.60,4705800,0
^IBEX,D,20000815,000000,11210.60,11283.40,11163.10,11207.90,3829800,0
^IBEX,D,20000816,000000,11207.90,11364.30,11202.00,11342.70,7358600,0
^IBEX,D,20000817,000000,11342.70,11350.50,11131.50,11155.50,6743600,0
^IBEX,D,20000818,000000,11155.50,11252.30,11056.50,11065.50,10857800,0
^IBEX,D,20000821,000000,11065.50,11114.60,10980.20,11093.50,6197400,0
^IBEX,D,20000822,000000,11093.50,11137.80,10928.20,10934.60,7222800,0
^IBEX,D,20000823,000000,10934.60,10954.10,10695.60,10798.10,8254500,0
^IBEX,D,20000824,000000,10798.10,10843.30,10713.60,10720.10,7918200,0
^IBEX,D,20000825,000000,10724.70,10899.70,10724.70,10818.30,6761900,0
^IBEX,D,20000828,000000,10845.80,10919.60,10845.80,10907.50,3808300,0
^IBEX,D,20000829,000000,10907.50,10922.00,10783.60,10840.60,5063500,0
^IBEX,D,20000830,000000,10840.60,10911.10,10783.00,10869.60,6173400,0
^IBEX,D,20000831,000000,10869.60,10937.10,10753.10,10884.70,8104500,0
